Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,17,,22.97%,,5,,5,,,7,,
Peter Sakai,,57,,77.03%,,17,,10,,,30,,
Total Votes Cast,,74,,100.00%,,22,,15,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,45,,65.22%,,13,,9,,,23,,
Maria Teresa Garcia,,24,,34.78%,,6,,4,,,14,,
Total Votes Cast,,69,,100.00%,,19,,13,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,2,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,43,,59.72%,,10,,9,,,24,,
"Christine ""Chris"" Castillo",,29,,40.28%,,11,,6,,,12,,
Total Votes Cast,,72,,100.00%,,21,,15,,,36,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,0,,,2,,
,,,,,,,,,,334,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2009,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,372",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,81,,27,,11,,43,,,,,
Ballots Cast - Democratic Party,,59,,17,,10,,32,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,3.41%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,43,,72.88%,,14,,3,,,26,,
Mike Collier,,16,,27.12%,,3,,7,,,6,,
Total Votes Cast,,59,,100.00%,,17,,10,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,45,,77.59%,,16,,4,,,25,,
Joe Jaworski,,13,,22.41%,,1,,6,,,6,,
Total Votes Cast,,58,,100.00%,,17,,10,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,21,,38.89%,,8,,1,,,12,,
Janet T. Dudding,,33,,61.11%,,9,,8,,,16,,
Total Votes Cast,,54,,100.00%,,17,,9,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,0,,1,,,4,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,37,,64.91%,,12,,4,,,21,,
Jay Kleberg,,20,,35.09%,,5,,5,,,10,,
Total Votes Cast,,57,,100.00%,,17,,9,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,1,,,1,,
,,,,,,,,,,335,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2009,,,,,,,,,,,,,
,"DEM Member, State Board of Education, District 1 State Board of Education, District 1",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa N. Ortega,,34,,61.82%,,14,,2,,,18,,
Laura Marquez,,21,,38.18%,,3,,6,,,12,,
Total Votes Cast,,55,,100.00%,,17,,8,,,30,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,2,,,2,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,31,,52.54%,,13,,4,,,14,,
Peter Sakai,,28,,47.46%,,4,,6,,,18,,
Total Votes Cast,,59,,100.00%,,17,,10,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,31,,58.49%,,12,,5,,,14,,
Maria Teresa Garcia,,22,,41.51%,,3,,4,,,15,,
Total Votes Cast,,53,,100.00%,,15,,9,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,1,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,31,,58.49%,,9,,7,,,15,,
"Christine ""Chris"" Castillo",,22,,41.51%,,6,,2,,,14,,
Total Votes Cast,,53,,100.00%,,15,,9,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,1,,,3,,
,,,,,,,,,,336,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,621",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,123,,51,,22,,50,,,,,
Ballots Cast - Democratic Party,,85,,30,,20,,35,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,7.59%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,43,,53.75%,,16,,10,,,17,,
Ricardo Villarreal,,37,,46.25%,,13,,8,,,16,,
Total Votes Cast,,80,,100.00%,,29,,18,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,2,,,2,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,35,,43.75%,,17,,6,,,12,,
Mike Collier,,45,,56.25%,,13,,11,,,21,,
Total Votes Cast,,80,,100.00%,,30,,17,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,0,,3,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,51,,62.96%,,21,,10,,,20,,
Joe Jaworski,,30,,37.04%,,8,,8,,,14,,
Total Votes Cast,,81,,100.00%,,29,,18,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,2,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,32,,41.56%,,13,,7,,,12,,
Janet T. Dudding,,45,,58.44%,,15,,10,,,20,,
Total Votes Cast,,77,,100.00%,,28,,17,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,3,,,3,,
,,,,,,,,,,337,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,33,,41.25%,,17,,7,,,9,,
Jay Kleberg,,47,,58.75%,,13,,10,,,24,,
Total Votes Cast,,80,,100.00%,,30,,17,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,0,,3,,,2,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,24,,28.24%,,9,,8,,,7,,
Peter Sakai,,61,,71.76%,,21,,12,,,28,,
Total Votes Cast,,85,,100.00%,,30,,20,,,35,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,45,,58.44%,,15,,8,,,22,,
Maria Teresa Garcia,,32,,41.56%,,14,,8,,,10,,
Total Votes Cast,,77,,100.00%,,29,,16,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,1,,4,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,34,,43.59%,,15,,8,,,11,,
"Christine ""Chris"" Castillo",,44,,56.41%,,14,,8,,,22,,
Total Votes Cast,,78,,100.00%,,29,,16,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,1,,4,,,2,,
,,,,,,,,,,338,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,900",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,142,,51,,31,,60,,,,,
Ballots Cast - Democratic Party,,132,,48,,30,,54,,,,,
Ballots Cast - Blank,,1,,1,,0,,0,,,,,
Voter Turnout - Total,,7.47%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,67,,55.37%,,26,,11,,,30,,
Mike Collier,,54,,44.63%,,17,,17,,,20,,
Total Votes Cast,,121,,100.00%,,43,,28,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,5,,2,,,4,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,93,,75.00%,,36,,23,,,34,,
Joe Jaworski,,31,,25.00%,,8,,6,,,17,,
Total Votes Cast,,124,,100.00%,,44,,29,,,51,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,1,,,3,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,72,,59.50%,,21,,13,,,38,,
Janet T. Dudding,,49,,40.50%,,22,,15,,,12,,
Total Votes Cast,,121,,100.00%,,43,,28,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,5,,2,,,4,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,87,,71.90%,,37,,13,,,37,,
Jay Kleberg,,34,,28.10%,,6,,15,,,13,,
Total Votes Cast,,121,,100.00%,,43,,28,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,5,,2,,,4,,
,,,,,,,,,,339,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,45,,34.88%,,19,,8,,,18,,
Peter Sakai,,84,,65.12%,,26,,22,,,36,,
Total Votes Cast,,129,,100.00%,,45,,30,,,54,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,62,,51.67%,,20,,18,,,24,,
Maria Teresa Garcia,,58,,48.33%,,22,,9,,,27,,
Total Votes Cast,,120,,100.00%,,42,,27,,,51,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,6,,3,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,63,,52.50%,,24,,8,,,31,,
"Christine ""Chris"" Castillo",,57,,47.50%,,18,,19,,,20,,
Total Votes Cast,,120,,100.00%,,42,,27,,,51,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,6,,3,,,3,,
,,,,,,,,,,340,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,547",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,75,,19,,10,,46,,,,,
Ballots Cast - Democratic Party,,64,,18,,10,,36,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,4.85%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,26,,45.61%,,8,,1,,,17,,
Mike Collier,,31,,54.39%,,7,,8,,,16,,
Total Votes Cast,,57,,100.00%,,15,,9,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,45,,73.77%,,16,,3,,,26,,
Joe Jaworski,,16,,26.23%,,1,,7,,,8,,
Total Votes Cast,,61,,100.00%,,17,,10,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,0,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,36,,61.02%,,11,,6,,,19,,
Janet T. Dudding,,23,,38.98%,,6,,3,,,14,,
Total Votes Cast,,59,,100.00%,,17,,9,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,1,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,43,,70.49%,,14,,6,,,23,,
Jay Kleberg,,18,,29.51%,,4,,3,,,11,,
Total Votes Cast,,61,,100.00%,,18,,9,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,1,,,2,,
,,,,,,,,,,341,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,29,,46.77%,,12,,1,,,16,,
Peter Sakai,,33,,53.23%,,6,,9,,,18,,
Total Votes Cast,,62,,100.00%,,18,,10,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,32,,59.26%,,11,,3,,,18,,
Maria Teresa Garcia,,22,,40.74%,,5,,4,,,13,,
Total Votes Cast,,54,,100.00%,,16,,7,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,2,,3,,,5,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,26,,43.33%,,8,,3,,,15,,
"Christine ""Chris"" Castillo",,34,,56.67%,,9,,5,,,20,,
Total Votes Cast,,60,,100.00%,,17,,8,,,35,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,2,,,1,,
,,,,,,,,,,342,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,214",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,120,,45,,21,,54,,,,,
Ballots Cast - Democratic Party,,104,,40,,20,,44,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,9.88%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,46,,45.54%,,16,,7,,,23,,
Mike Collier,,55,,54.46%,,23,,13,,,19,,
Total Votes Cast,,101,,100.00%,,39,,20,,,42,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,77,,75.49%,,29,,13,,,35,,
Joe Jaworski,,25,,24.51%,,9,,7,,,9,,
Total Votes Cast,,102,,100.00%,,38,,20,,,44,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,69,,69.00%,,21,,14,,,34,,
Janet T. Dudding,,31,,31.00%,,17,,5,,,9,,
Total Votes Cast,,100,,100.00%,,38,,19,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,1,,,1,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,79,,77.45%,,28,,16,,,35,,
Jay Kleberg,,23,,22.55%,,11,,4,,,8,,
Total Votes Cast,,102,,100.00%,,39,,20,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,,,,,,,,,,343,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,52,,50.00%,,19,,11,,,22,,
Peter Sakai,,52,,50.00%,,21,,9,,,22,,
Total Votes Cast,,104,,100.00%,,40,,20,,,44,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,57,,57.00%,,26,,9,,,22,,
Maria Teresa Garcia,,43,,43.00%,,13,,11,,,19,,
Total Votes Cast,,100,,100.00%,,39,,20,,,41,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,0,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,66,,64.71%,,21,,14,,,31,,
"Christine ""Chris"" Castillo",,36,,35.29%,,18,,6,,,12,,
Total Votes Cast,,102,,100.00%,,39,,20,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,,,,,,,,,,344,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,200",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,97,,34,,15,,48,,,,,
Ballots Cast - Democratic Party,,80,,27,,12,,41,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,8.08%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,43,,58.11%,,15,,7,,,21,,
Mike Collier,,31,,41.89%,,9,,4,,,18,,
Total Votes Cast,,74,,100.00%,,24,,11,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,1,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,48,,64.86%,,20,,4,,,24,,
Joe Jaworski,,26,,35.14%,,4,,8,,,14,,
Total Votes Cast,,74,,100.00%,,24,,12,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,44,,61.11%,,14,,8,,,22,,
Janet T. Dudding,,28,,38.89%,,9,,3,,,16,,
Total Votes Cast,,72,,100.00%,,23,,11,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,1,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,56,,74.67%,,21,,7,,,28,,
Jay Kleberg,,19,,25.33%,,5,,4,,,10,,
Total Votes Cast,,75,,100.00%,,26,,11,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,1,,,3,,
,,,,,,,,,,345,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,26,,32.91%,,9,,6,,,11,,
Peter Sakai,,53,,67.09%,,17,,6,,,30,,
Total Votes Cast,,79,,100.00%,,26,,12,,,41,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,39,,50.65%,,13,,7,,,19,,
Maria Teresa Garcia,,38,,49.35%,,12,,5,,,21,,
Total Votes Cast,,77,,100.00%,,25,,12,,,40,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,38,,48.72%,,15,,4,,,19,,
"Christine ""Chris"" Castillo",,40,,51.28%,,11,,8,,,21,,
Total Votes Cast,,78,,100.00%,,26,,12,,,40,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,,,,,,,,,,346,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,909",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,76,,35,,20,,21,,,,,
Ballots Cast - Democratic Party,,70,,31,,20,,19,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,3.98%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,42,,61.76%,,17,,10,,,15,,
Mike Collier,,26,,38.24%,,12,,10,,,4,,
Total Votes Cast,,68,,100.00%,,29,,20,,,19,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,56,,87.50%,,24,,13,,,19,,
Joe Jaworski,,8,,12.50%,,2,,6,,,0,,
Total Votes Cast,,64,,100.00%,,26,,19,,,19,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,5,,1,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,39,,61.90%,,14,,11,,,14,,
